Id,Com,Treatment,Media,Replicate,T,code,ResperCel
Ce_M9:6,Ce_M9,Ce,M9,6,25,25:Ce,2.16E-10
Ce_SM:6,Ce_SM,Ce,SM,6,25,25:Ce,3.32E-10
Cn_M9:1,Cn_M9,Cn,M9,1,27.5,27.5:Cn,1.51E-10
Cn_SM:1,Cn_SM,Cn,SM,1,27.5,27.5:Cn,2.34E-10
Ce_M9:1,Ce_M9,Ce,M9,1,27.5,27.5:Ce,1.05E-10
Ce_SM:1,Ce_SM,Ce,SM,1,27.5,27.5:Ce,1.06E-10
Cn_M9:2,Cn_M9,Cn,M9,2,27.5,27.5:Cn,1.22E-10
Cn_SM:2,Cn_SM,Cn,SM,2,27.5,27.5:Cn,1.93E-10
Ce_M9:2,Ce_M9,Ce,M9,2,27.5,27.5:Ce,9.30E-11
Ce_SM:2,Ce_SM,Ce,SM,2,27.5,27.5:Ce,1.03E-10
Cn_M9:3,Cn_M9,Cn,M9,3,27.5,27.5:Cn,1.24E-10
Cn_SM:3,Cn_SM,Cn,SM,3,27.5,27.5:Cn,1.86E-10
Ce_M9:3,Ce_M9,Ce,M9,3,27.5,27.5:Ce,1.93E-10
Ce_SM:3,Ce_SM,Ce,SM,3,27.5,27.5:Ce,4.01E-10
Cn_M9:4,Cn_M9,Cn,M9,4,27.5,27.5:Cn,1.28E-10
Cn_SM:4,Cn_SM,Cn,SM,4,27.5,27.5:Cn,1.99E-10
Ce_M9:4,Ce_M9,Ce,M9,4,27.5,27.5:Ce,1.61E-10
Cn_M9:5,Cn_M9,Cn,M9,5,27.5,27.5:Cn,1.36E-10
Cn_SM:5,Cn_SM,Cn,SM,5,27.5,27.5:Cn,2.02E-10
Ce_M9:5,Ce_M9,Ce,M9,5,27.5,27.5:Ce,1.08E-10
Ce_SM:5,Ce_SM,Ce,SM,5,27.5,27.5:Ce,8.63E-11
Cn_M9:6,Cn_M9,Cn,M9,6,27.5,27.5:Cn,1.12E-10
Cn_SM:6,Cn_SM,Cn,SM,6,27.5,27.5:Cn,1.86E-10
Ce_M9:6,Ce_M9,Ce,M9,6,27.5,27.5:Ce,2.27E-10
Cn_M9:1,Cn_M9,Cn,M9,1,30,30:Cn,2.26E-10
Cn_SM:1,Cn_SM,Cn,SM,1,30,30:Cn,2.96E-10
Ce_M9:1,Ce_M9,Ce,M9,1,30,30:Ce,1.57E-10
Ce_SM:1,Ce_SM,Ce,SM,1,30,30:Ce,1.20E-10
Cn_M9:2,Cn_M9,Cn,M9,2,30,30:Cn,1.26E-10
Cn_SM:2,Cn_SM,Cn,SM,2,30,30:Cn,1.50E-10
Ce_M9:2,Ce_M9,Ce,M9,2,30,30:Ce,1.08E-10
Ce_SM:2,Ce_SM,Ce,SM,2,30,30:Ce,7.52E-11
Cn_M9:3,Cn_M9,Cn,M9,3,30,30:Cn,1.19E-10
Cn_SM:3,Cn_SM,Cn,SM,3,30,30:Cn,1.26E-10
Ce_M9:3,Ce_M9,Ce,M9,3,30,30:Ce,1.89E-10
Ce_SM:3,Ce_SM,Ce,SM,3,30,30:Ce,3.43E-10
Cn_M9:4,Cn_M9,Cn,M9,4,30,30:Cn,1.13E-10
Cn_SM:4,Cn_SM,Cn,SM,4,30,30:Cn,1.43E-10
Ce_M9:4,Ce_M9,Ce,M9,4,30,30:Ce,1.68E-10
Ce_SM:4,Ce_SM,Ce,SM,4,30,30:Ce,1.72E-10
Cn_M9:5,Cn_M9,Cn,M9,5,30,30:Cn,1.20E-10
Cn_SM:5,Cn_SM,Cn,SM,5,30,30:Cn,1.49E-10
Ce_M9:5,Ce_M9,Ce,M9,5,30,30:Ce,1.39E-10
Ce_SM:5,Ce_SM,Ce,SM,5,30,30:Ce,1.05E-10
Cn_M9:6,Cn_M9,Cn,M9,6,30,30:Cn,1.25E-10
Cn_SM:6,Cn_SM,Cn,SM,6,30,30:Cn,1.64E-10
Ce_SM:6,Ce_SM,Ce,SM,6,30,30:Ce,5.70E-09
Cn_M9:1,Cn_M9,Cn,M9,1,32.5,32.5:Cn,1.75E-10
Cn_SM:1,Cn_SM,Cn,SM,1,32.5,32.5:Cn,1.74E-10
Ce_M9:1,Ce_M9,Ce,M9,1,32.5,32.5:Ce,1.70E-10
Ce_SM:1,Ce_SM,Ce,SM,1,32.5,32.5:Ce,1.52E-10
Cn_M9:2,Cn_M9,Cn,M9,2,32.5,32.5:Cn,2.11E-10
Cn_SM:2,Cn_SM,Cn,SM,2,32.5,32.5:Cn,2.21E-10
Ce_M9:2,Ce_M9,Ce,M9,2,32.5,32.5:Ce,1.83E-10
Ce_SM:2,Ce_SM,Ce,SM,2,32.5,32.5:Ce,1.14E-10
Cn_M9:3,Cn_M9,Cn,M9,3,32.5,32.5:Cn,1.79E-10
Cn_SM:3,Cn_SM,Cn,SM,3,32.5,32.5:Cn,1.66E-10
Ce_M9:3,Ce_M9,Ce,M9,3,32.5,32.5:Ce,3.38E-10
Ce_SM:3,Ce_SM,Ce,SM,3,32.5,32.5:Ce,3.56E-10
